arm,domain,problem_index,seed,reprompt_template,reference_mode,fewshot_option,judge,name,state,pass_rate_delta,post_mean_score,post_pass_rate,pre_mean_score,pre_pass_rate
TF,,39.0,1.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,finished,0.0625,,0.0625,,0.0
TF,,39.0,2.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,finished,0.1875,,0.25,,0.0625
TF,,39.0,3.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx39-15step-good_only-llm-T2_standard,finished,0.0625,,0.25,,0.1875
TF,,12.0,0.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx12-15step-good_only-llm-T2_standard,finished,1.0,,1.0,,0.0
TF,,12.0,1.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx12-15step-good_only-llm-T2_standard,finished,0.875,,0.9375,,0.0625
TF,,12.0,2.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx12-15step-good_only-llm-T2_standard,finished,0.9375,,1.0,,0.0625
TF,,12.0,3.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx12-15step-good_only-llm-T2_standard,finished,0.875,,1.0,,0.125
TF,,39.0,0.0,T2_standard,best_in_batch,good_bad,llm,teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,finished,0.5,,0.5,,0.0
TF,,39.0,1.0,T2_standard,best_in_batch,good_bad,llm,teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,finished,0.125,,0.125,,0.0
TF,,39.0,2.0,T2_standard,best_in_batch,good_bad,llm,teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,finished,0.125,,0.1875,,0.0625
TF,,39.0,3.0,T2_standard,best_in_batch,good_bad,llm,teacherfirst-Qwen3-4B-idx39-15step-good_bad-llm-T2_standard,finished,0.0,,0.1875,,0.1875
TF,,12.0,0.0,T2_standard,best_in_batch,good_bad,llm,teacherfirst-Qwen3-4B-idx12-15step-good_bad-llm-T2_standard,finished,1.0,,1.0,,0.0
TF,,12.0,1.0,T2_standard,best_in_batch,good_bad,llm,teacherfirst-Qwen3-4B-idx12-15step-good_bad-llm-T2_standard,finished,0.9375,,1.0,,0.0625
TF,,12.0,2.0,T2_standard,best_in_batch,good_bad,llm,teacherfirst-Qwen3-4B-idx12-15step-good_bad-llm-T2_standard,finished,0.9375,,1.0,,0.0625
TF,,12.0,3.0,T2_standard,best_in_batch,good_bad,llm,teacherfirst-Qwen3-4B-idx12-15step-good_bad-llm-T2_standard,finished,0.875,,1.0,,0.125
SF,,64.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,crashed,,,,,
TF,,69.0,0.0,T2_standard,best_in_batch,good_only,difflib,teacherfirst-Qwen3-4B-idx69-15step-good_only-difflib-T2_standard,crashed,,,,,
SF,,64.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,finished,0.0,0.6421875,0.0625,0.5109375,0.0625
TF,,64.0,0.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,finished,0.5625,,0.625,,0.0625
SF,,64.0,1.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,finished,-0.0625,0.6265625,0.0,0.4953125,0.0625
TF,,64.0,1.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,finished,0.3125,,0.375,,0.0625
SF,,64.0,2.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,finished,0.0,0.521875,0.0,0.5484375,0.0
TF,,64.0,2.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,finished,0.0625,,0.0625,,0.0
SF,,64.0,3.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,finished,0.0,0.4234375,0.0,0.6234375,0.0
TF,,64.0,3.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,crashed,,,,,
SF,,64.0,3.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,finished,0.125,0.5890625,0.125,0.6234375,0.0
TF,,64.0,3.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,finished,0.625,,0.625,,0.0
SF,,77.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx77-15step-hybrid-T2_standard,finished,0.0625,0.2734375,0.25,0.2171875,0.1875
TF,,77.0,0.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx77-15step-good_only-llm-T2_standard,finished,0.0625,,0.25,,0.1875
SF,,77.0,1.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx77-15step-hybrid-T2_standard,finished,0.0625,0.115625,0.0625,0.034375,0.0
TF,,77.0,1.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx77-15step-good_only-llm-T2_standard,finished,0.0625,,0.0625,,0.0
SF,,77.0,2.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx77-15step-hybrid-T2_standard,crashed,,,,,
SF,,77.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx77-15step-hybrid-T2_standard,finished,-0.125,0.1328125,0.0625,0.2171875,0.1875
TF,,77.0,0.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx77-15step-good_only-llm-T2_standard,finished,0.4375,,0.625,,0.1875
SF,,77.0,1.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx77-15step-hybrid-T2_standard,finished,0.25,0.2640625,0.25,0.034375,0.0
TF,,77.0,1.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx77-15step-good_only-llm-T2_standard,crashed,,,,,
SF,,77.0,2.0,T2_standard,,,,discovery-Qwen3-4B-idx77-15step-hybrid-T2_standard,crashed,,,,,
SF,,77.0,2.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx77-15step-hybrid-T2_standard,finished,0.0,0.25625,0.25,0.2953125,0.25
SF,,77.0,3.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx77-15step-hybrid-T2_standard,crashed,,,,,
SF,,64.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,finished,-0.0625,0.5171875,0.0,0.5109375,0.0625
TF,,64.0,0.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,finished,0.5,,0.5625,,0.0625
SF,,64.0,1.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx64-15step-hybrid-T2_standard,finished,0.0,0.5703125,0.0625,0.4953125,0.0625
TF,,64.0,1.0,T2_standard,best_in_batch,good_only,llm,teacherfirst-Qwen3-4B-idx64-15step-good_only-llm-T2_standard,crashed,,,,,
SF,,77.0,2.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx77-15step-hybrid-T2_standard,finished,-0.0625,0.2203125,0.1875,0.2953125,0.25
SF,,77.0,3.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx77-15step-hybrid-T2_standard,finished,0.125,0.2703125,0.1875,0.125,0.0625
TF,,77.0,0.0,T2_standard,best_in_batch,good_only,difflib,teacherfirst-Qwen3-4B-idx77-15step-good_only-difflib-T2_standard,crashed,,,,,
SF,,77.0,2.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx77-15step-hybrid-T2_standard,finished,0.125,0.3828125,0.375,0.2953125,0.25
SF,,77.0,3.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-idx77-15step-hybrid-T2_standard,finished,0.0625,0.23125,0.125,0.125,0.0625
TF,,77.0,0.0,T2_standard,best_in_batch,good_only,difflib,teacherfirst-Qwen3-4B-idx77-15step-good_only-difflib-T2_standard,finished,0.0625,,0.25,,0.1875
TF,,77.0,1.0,T2_standard,best_in_batch,good_only,difflib,teacherfirst-Qwen3-4B-idx77-15step-good_only-difflib-T2_standard,finished,0.3125,,0.3125,,0.0
TF,,77.0,2.0,T2_standard,best_in_batch,good_only,difflib,teacherfirst-Qwen3-4B-idx77-15step-good_only-difflib-T2_standard,finished,0.4375,,0.6875,,0.25
TF,,77.0,3.0,T2_standard,best_in_batch,good_only,difflib,teacherfirst-Qwen3-4B-idx77-15step-good_only-difflib-T2_standard,finished,0.0625,,0.125,,0.0625
TF,aime,8.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx8-2step-good_only-llm-T2_standard,crashed,,,,,
SF,aime,8.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-aime-idx8-10step-hybrid-T2_standard,crashed,,,,,
TF,aime,8.0,1.0,T2_standard,ground_truth,good_only,llm,teacherfirst-Qwen3-4B-aime-idx8-10step-good_only-llm-T2_standard,crashed,,,,,
TF,aime,11.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx11-2step-good_only-llm-T2_standard,crashed,,,,,
TF,aime,11.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx11-2step-good_only-llm-T2_standard,crashed,,,,,
TF,aime,11.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx11-2step-good_only-llm-T2_standard,crashed,,,,,
TF,aime,11.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx11-2step-good_only-llm-T2_standard,crashed,,,,,
TF,aime,11.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx11-2step-good_only-llm-T2_standard,finished,0.25,,0.5,,0.25
TF,aime,11.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx11-1step-good_only-llm-T2_standard,crashed,,,,,
TF,aime,11.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx11-1step-good_only-llm-T2_standard,crashed,,,,,
TF,aime,11.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx11-1step-good_only-llm-T2_standard,finished,0.0,,0.25,,0.25
TF,aime,9.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx9-3step-good_only-llm-T2_standard,killed,,,,,
TF,aime,9.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx9-3step-good_only-llm-T2_standard,killed,,,,,
TF,aime,9.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx9-3step-good_only-llm-T2_standard,finished,0.0,,0.0,,0.0
TF,aime,9.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx9-3step-good_only-llm-T2_standard,failed,,,,,
TF,aime,9.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx9-3step-good_only-llm-T2_standard,finished,0.0,,0.0,,0.0
TF,aime,8.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx8-3step-good_only-llm-T2_standard,crashed,,,,,
TF,aime,8.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx8-3step-good_only-llm-T2_standard,killed,,,,,
TF,aime,8.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx8-3step-good_only-llm-T2_standard,killed,,,,,
TF,aime,8.0,0.0,T2_standard,ground_truth,good_only,llm,teacherfirst-gemma-4-E4B-it-aime-idx8-3step-good_only-llm-T2_standard,finished,0.0,,0.0,,0.0
SF,code,12.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-code-idx12-2step-hybrid-T2_standard,finished,0.25,0.35625,0.25,0.2125,0.0
SF,code,12.0,0.0,"{prompt}{solution}{feedback}

Provide a corrected solution.
",,,,discovery-Qwen3-4B-code-idx12-15step-hybrid-T1_minimal,finished,0.375,0.5765625,0.375,0.1671875,0.0
SF,code,12.0,1.0,"{prompt}{solution}{feedback}

Provide a corrected solution.
",,,,discovery-Qwen3-4B-code-idx12-15step-hybrid-T1_minimal,finished,0.8125,0.9375,0.9375,0.225,0.125
SF,code,39.0,0.0,"{prompt}{solution}{feedback}

Provide a corrected solution.
",,,,discovery-Qwen3-4B-code-idx39-15step-hybrid-T1_minimal,finished,0.0,0.140625,0.0,0.14375,0.0
SF,code,39.0,1.0,"{prompt}{solution}{feedback}

Provide a corrected solution.
",,,,discovery-Qwen3-4B-code-idx39-15step-hybrid-T1_minimal,finished,0.0625,0.1953125,0.0625,0.125,0.0
SF,code,12.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-code-idx12-15step-hybrid-T2_standard,finished,0.9375,0.959375,0.9375,0.1671875,0.0
SF,code,12.0,1.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-code-idx12-15step-hybrid-T2_standard,finished,0.875,1.0,1.0,0.225,0.125
SF,code,39.0,0.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,finished,0.0625,0.1875,0.0625,0.14375,0.0
SF,code,39.0,1.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,finished,0.0625,0.1875,0.0625,0.125,0.0
SF,code,12.0,0.0,"{prompt}{solution}{feedback}

First, identify the root cause of the failure, then provide a corrected solution.
",,,,discovery-Qwen3-4B-code-idx12-15step-hybrid-T5_reasoning,finished,0.9375,0.9421875,0.9375,0.1671875,0.0
SF,code,12.0,1.0,"{prompt}{solution}{feedback}

First, identify the root cause of the failure, then provide a corrected solution.
",,,,discovery-Qwen3-4B-code-idx12-15step-hybrid-T5_reasoning,finished,0.875,1.0,1.0,0.225,0.125
SF,code,39.0,0.0,"{prompt}{solution}{feedback}

First, identify the root cause of the failure, then provide a corrected solution.
",,,,discovery-Qwen3-4B-code-idx39-15step-hybrid-T5_reasoning,finished,0.125,0.196875,0.125,0.14375,0.0
SF,code,39.0,1.0,"{prompt}{solution}{feedback}

First, identify the root cause of the failure, then provide a corrected solution.
",,,,discovery-Qwen3-4B-code-idx39-15step-hybrid-T5_reasoning,finished,0.125,0.234375,0.125,0.125,0.0
SF,code,39.0,2.0,"{prompt}{solution}{feedback}

Provide a corrected solution.
",,,,discovery-Qwen3-4B-code-idx39-15step-hybrid-T1_minimal,finished,0.0625,0.209375,0.0625,0.190625,0.0
SF,code,39.0,3.0,"{prompt}{solution}{feedback}

Provide a corrected solution.
",,,,discovery-Qwen3-4B-code-idx39-15step-hybrid-T1_minimal,finished,-0.125,0.15,0.0,0.265625,0.125
SF,code,39.0,2.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,finished,0.0625,0.215625,0.0625,0.190625,0.0
SF,code,39.0,3.0,"{prompt}{solution}{feedback}

Correctly solve the original question.
",,,,discovery-Qwen3-4B-code-idx39-15step-hybrid-T2_standard,finished,-0.0625,0.15625,0.0625,0.265625,0.125
SF,code,39.0,2.0,"{prompt}{solution}{feedback}

First, identify the root cause of the failure, then provide a corrected solution.
",,,,discovery-Qwen3-4B-code-idx39-15step-hybrid-T5_reasoning,finished,0.0625,0.1765625,0.0625,0.190625,0.0
SF,code,39.0,3.0,"{prompt}{solution}{feedback}

First, identify the root cause of the failure, then provide a corrected solution.
",,,,discovery-Qwen3-4B-code-idx39-15step-hybrid-T5_reasoning,finished,-0.125,0.15312499999999998,0.0,0.265625,0.125
